variable,importance
square_feet,0.4513945164675408
state_CA,0.16232023699492512
bathrooms,0.049102526199768085
num_amenities,0.04265185878603569
bedrooms,0.038180059307117195
state_MA,0.029190598904933193
state_NJ,0.028370257537911742
state_WA,0.02555813648140435
pets,0.018024739599278267
state_DC,0.013108301530464299
state_MD,0.01258956843441133
Parking,0.010471560667101065
state_HI,0.009119809807136347
Patio/Deck,0.007983205710146187
state_IL,0.007821807943650987
Internet Access,0.006833648357070935
Storage,0.006461818785639713
state_FL,0.006431793197573414
state_CO,0.00553155912357955
state_OR,0.0053886972221058186
state_TX,0.004512904161564524
state_VA,0.004349538765597891
state_NY,0.004130204018844239
state_PA,0.004072161402028155
state_IN,0.0036445565677933776
state_WI,0.003496428881629919
state_MI,0.003309546304645084
state_MN,0.0032722780255323328
state_OH,0.0030300059484741223
state_GA,0.0027396107774827214
state_TN,0.0024217570076529387
state_MO,0.002419827151805403
state_AZ,0.002202647621990113
state_NC,0.0019016028468625324
state_OK,0.001846172662366987
state_ND,0.0017515341614240847
state_IA,0.0016317260464896353
state_CT,0.0013684043560421408
state_NH,0.0011636916684987636
state_NV,0.0011197008696819963
state_KS,0.0010932756880519022
state_UT,0.0009605687242309577
state_SC,0.0009449912195355969
state_AL,0.0008163617389816216
state_AR,0.0007485622269067698
state_NE,0.0007198113794395817
state_LA,0.0006355339131887145
state_SD,0.0006231897750933159
state_VT,0.0006196745812879579
state_KY,0.0005394339395232193
state_ID,0.00033902182033665647
state_MS,0.0002739608902281574
state_MT,0.00023024296127923882
state_ME,0.00020135663680626134
state_RI,0.00011955250054611455
state_WV,7.94813535539914e-05
state_NM,7.250524542566378e-05
state_DE,6.347510138311214e-05
state_WY,0.0
